kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
N30,A690906,40214,STRAY,OTC,2021-04-05 00:00:00,STRAY,ADOPTION,INTERNET,2021-04-18 00:00:00,DOG,N,N,MED,BLACK,LABRADOR RETR / MIX,40214,143
803,A691171,40216,STRAY,OTC,2021-04-10 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-04-24 00:00:00,DOG,S,N,MED,TRICOLOR,BEAGLE / MIX,40206,144
N09,A691313,40215,STRAY,OTC,2021-04-14 00:00:00,STRAY,ADOPTION,INTERNET,2021-04-27 00:00:00,DOG,S,N,MED,BLACK,PIT BULL / MIX,40245,145
307,A645872,40213,OWNER SUR,FIELD,2022-02-22 00:00:00,NO HOME,TRANSFER,RESCUE GRP,2022-03-06 00:00:00,DOG,S,N,X-LRG,BLACK / WHITE,GREAT DANE,40213,146
DW17,A679118,40215,STRAY,OTC,2022-08-13 00:00:00,STRAY,RTO,IN KENNEL,2022-08-19 00:00:00,DOG,N,N,LARGE,YELLOW,GERM SHEPHERD / LABRADOR RETR,40208,147
ID07,A679427,40219,STRAY,OTC,2021-11-08 00:00:00,STRAY,RTO,IN KENNEL,2021-11-09 00:00:00,DOG,N,N,MED,YELLOW,SIBERIAN HUSKY,40219,148
NF1,A694367,40222,RETURN,ADOPTION,2021-09-19 00:00:00,LANDLORD,ADOPTION,PRV ADOPT,2021-09-21 00:00:00,CAT,N,N,KITTN,WHITE / ORANGE,DOMESTIC SH,40222,149
N32,A694369,40210,STRAY,FIELD,2021-06-29 00:00:00,STRAY,ADOPTION,INTERNET,2021-07-08 00:00:00,DOG,N,N,MED,BROWN / WHITE,BOXER,40210,150
602,A694372,40272,OWNER SUR,EUTH REQ,2021-06-29 00:00:00,BITES,EUTH,REQUESTED,2021-07-13 00:00:00,DOG,M,Y,MED,CREAM,COCKER SPAN / POODLE STND,40272,151
TNR/SNR,A694432,40215,STRAY,OTC,2021-07-01 00:00:00,STRAY,SNR,,2021-07-07 00:00:00,CAT,N,N,MED,BRN TABBY,DOMESTIC SH,40215,152
LOST,A694503,,LOST,WEB,2021-07-02 00:00:00,,,,,DOG,M,,MED,UNKNOWN,BASSET HOUND,66027,153
N08,A694571,40203,STRAY,FIELD,2021-07-04 00:00:00,STRAY,ADOPTION,WALK IN,2021-07-18 00:00:00,DOG,S,N,MED,YELLOW,PIT BULL / ALASKAN HUSKY,40208,154
NF1,A267450,40214,CONFISCATE,NEGLECT,2021-08-18 00:00:00,CRUELTY,ADOPTION,WALK IN,2021-09-30 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC MH,40218,155
C122,A342575,40219,STRAY,OTC,2025-04-30 00:00:00,STRAY,EUTH,INHUMANE,2025-05-01 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC MH,40219,156
K103,A631950,40208,STRAY,FIELD,2021-11-02 00:00:00,STRAY,RTO,IN KENNEL,2021-11-06 00:00:00,DOG,F,N,SMALL,RED,MIN PINSCHER,40208,157
501,A531984,40291,FOSTER,RETURN,2025-04-26 00:00:00,FOSTER RET,FOSTER,TIME/SPACE,2025-05-07 00:00:00,DOG,S,Y,MED,BLACK,PIT BULL,40291,158
C402,A553926,40205,STRAY,OTC,2023-10-21 00:00:00,STRAY,RTO,IN KENNEL,2023-10-23 00:00:00,CAT,S,N,SMALL,BLACK,DOMESTIC SH,40220,159
502,A658834,40208,STRAY,OTC,2023-02-02 00:00:00,STRAY,RTO,IN KENNEL,2023-02-03 00:00:00,DOG,S,N,MED,BR BRINDLE / WHITE,PIT BULL,40203,160
C136,A658875,40214,STRAY,OTC,2023-12-05 00:00:00,STRAY,RTO,IN KENNEL,2023-12-08 00:00:00,CAT,S,N,LARGE,BRN TABBY,DOMESTIC SH,40214,161
C132,A655154,40203,OWNER SUR,OTC,2023-04-13 00:00:00,MOVE,TRANSFER,KHS,2023-04-24 00:00:00,CAT,N,N,SMALL,BROWN,DOMESTIC SH,40203,162
FOSTER,A672281,40213,CONFISCATE,CRUELTY,2025-06-10 00:00:00,ABANDON,FOSTER,MEDICAL,2025-06-11 00:00:00,DOG,N,N,MED,BROWN / BLACK,BOXER / MIX,40228,163
FREEZER,A550793,40218,DISPOSAL,OWNER,2021-05-16 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2021-05-26 00:00:00,DOG,S,Y,MED,BLACK / WHITE,PIT BULL / MIX,40218,164
K106B,A645358,40214,STRAY,OTC,2022-12-13 00:00:00,STRAY,RTO,IN KENNEL,2022-12-14 00:00:00,DOG,N,N,SMALL,TAN,DACHSHUND / CHIHUAHUA SH,40258,165
FOSTER,A645358,40215,FOSTER,RETURN,2023-04-28 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023-04-29 00:00:00,DOG,N,N,SMALL,TAN,DACHSHUND / CHIHUAHUA SH,40204,166
NP,A435710,40245,FOSTER,RETURN,2023-11-09 00:00:00,FOSTER RET,ADOPTION,WEB METRO,2023-11-09 00:00:00,DOG,N,N,SMALL,WHITE,SHIH TZU / MIX,40245,167
808,A509675,40219,STRAY,OTC,2021-10-02 00:00:00,STRAY,RTO,,2021-10-05 00:00:00,DOG,N,N,MED,BROWN / WHITE,BEAGLE,40219,168
K105,A667555,40258,STRAY,FIELD,2023-05-12 00:00:00,OWNER DIED,ADOPTION,WALK IN,2023-05-19 00:00:00,DOG,N,N,SMALL,CREAM,SHIH TZU,40258,169
ID07,A684492,40207,STRAY,OTC,2022-01-30 00:00:00,STRAY,RTO,IN KENNEL,2022-01-31 00:00:00,DOG,F,N,SMALL,BROWN / WHITE,BEAGLE,40299,170
FOSTER,A688269,40211,FOSTER,RETURN,2021-01-25 00:00:00,FOSTER RET,TRANSFER,KHS,2021-01-25 00:00:00,DOG,M,N,PUPPY,TAN,PIT BULL,40214,171
INTAKE,A688404,40216,STRAY,OTC,2021-02-02 00:00:00,STRAY,TNR,CARETAKER,2021-02-03 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40216,172
INTAKE,A688432,40272,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,CARETAKER,2021-02-04 00:00:00,CAT,N,N,MED,BUFF,DOMESTIC SH,40272,173
INTAKE,A688476,40216,STRAY,OTC,2021-02-10 00:00:00,STRAY,TNR,CARETAKER,2021-02-11 00:00:00,CAT,S,N,MED,BLK TABBY,DOMESTIC SH,40216,174
LOST,A688584,,LOST,WEB,2021-01-19 00:00:00,,,,,DOG,M,,,UNKNOWN,DACHSHUND LH,40216,175
LOST,A688852,,LOST,WEB,2021-02-03 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,GERM SHEPHERD,40228,176
C308,A688974,40258,STRAY,OTC,2021-02-07 00:00:00,STRAY,SNR,,2021-02-27 00:00:00,CAT,N,N,LARGE,ORG TIGER,DOMESTIC MH,40216,177
LOST,A689033,,LOST,WEB,2021-02-06 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,40216,178
TNR/SNR,A690255,40216,STRAY,OTC,2021-03-18 00:00:00,STRAY,SNR,,2021-03-24 00:00:00,CAT,N,N,LARGE,BRN TABBY / WHITE,DOMESTIC SH,40216,179
FOSTER,A693076,40212,FOSTER,RETURN,2021-06-19 00:00:00,FOSTER RET,FOSTER,CONTAG DIS,2021-06-19 00:00:00,CAT,N,N,KITTN,WHITE / BLACK,DOMESTIC SH,42038,180
FOSTER,A688371,40217,STRAY,OTC,2021-01-22 00:00:00,STRAY,FOSTER,MEDICAL,2021-02-05 00:00:00,CAT,N,N,MED,ORANGE / WHITE,DOMESTIC MH,40217,181
INTAKE,A688475,40216,STRAY,OTC,2021-02-10 00:00:00,STRAY,TNR,CARETAKER,2021-02-11 00:00:00,CAT,N,N,MED,BLK TABBY,DOMESTIC SH,40216,182
N12,A690266,40215,STRAY,OTC,2021-03-18 00:00:00,STRAY,ADOPTION,WALK IN,2021-03-27 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,PIT BULL,40215,183
ACO UNIT,A693242,40214,STRAY,FIELD,2021-07-24 00:00:00,STRAY,RTO,IN FIELD,2021-07-24 00:00:00,DOG,N,Y,LARGE,BR BRINDLE,PIT BULL,40218,184
ACO UNIT,A644457,40218,STRAY,FIELD,2021-07-22 00:00:00,STRAY,RTO,IN FIELD,2021-07-22 00:00:00,DOG,N,N,MED,BLACK / TAN,GERM SHEPHERD,40218,185
INTAKE,A438805,40228,STRAY,OTC,2022-12-28 00:00:00,STRAY,RTO,IN FIELD,2022-12-28 00:00:00,DOG,N,N,PUPPY,BROWN / WHITE,BORDER TERRIER / MIX,40291,186
C310,A688711,40213,STRAY,OTC,2021-01-29 00:00:00,STRAY,RTF,,2021-03-01 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40203,187
INTAKE,A688543,40212,STRAY,OTC,2021-02-23 00:00:00,STRAY,TNR,CARETAKER,2021-02-25 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40212,188
FOSTER,A690416,40258,FOSTER,RETURN,2021-03-29 00:00:00,STRAY,TRANSFER,KHS,2021-03-30 00:00:00,DOG,M,N,PUPPY,TAN / BLACK,LABRADOR RETR,40214,189
FOSTER,A561737,40218,FOSTER,RETURN,2024-08-17 00:00:00,FOSTER RET,FOSTER,TO ADOPT,2024-08-17 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,SIBERIAN HUSKY,40242,190
INTAKE,A688416,40220,STRAY,OTC,2021-02-02 00:00:00,STRAY,TNR,CARETAKER,2021-02-03 00:00:00,CAT,S,N,MED,BLK TABBY,DOMESTIC SH,40220,191
N11,A688731,40215,STRAY,OTC,2021-01-30 00:00:00,STRAY,ADOPTION,WALK IN,2021-02-07 00:00:00,DOG,N,Y,MED,BLACK / GRAY,AUST CATTLE DOG,40208,192
N11,A644457,40218,STRAY,FIELD,2024-08-12 00:00:00,ABANDON,ADOPTION,WALK IN,2024-09-21 00:00:00,DOG,N,N,MED,BLACK / TAN,GERM SHEPHERD,40218,193
N11,A688581,40210,STRAY,FIELD,2021-01-23 00:00:00,STRAY,ADOPTION,WALK IN,2021-01-31 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,40218,194
FOSTER,A690570,40208,STRAY,OTC,2021-03-27 00:00:00,STRAY,FOSTER,,2021-04-02 00:00:00,DOG,N,N,PUPPY,BLACK / WHITE,PIT BULL / MIX,40403,195
FOSTER,A562247,40219,FOSTER,RETURN,2025-01-21 00:00:00,FOSTER RET,DIED,IN FOSTER,2025-01-21 00:00:00,CAT,S,N,LARGE,BLACK / WHITE,DOMESTIC MH,40218,196
INTAKE,A688418,40204,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,CARETAKER,2021-02-04 00:00:00,CAT,S,N,MED,CALICO / BLK TABBY,DOMESTIC SH,40204,197
LOST,A688785,,LOST,WEB,2021-01-28 00:00:00,,,,,DOG,M,,MED,UNKNOWN,GERM SHEPHERD,40212,198
DW09,A385624,40218,STRAY,OTC,2023-02-07 00:00:00,ABANDON,TRANSFER,RESCUE GRP,2023-02-13 00:00:00,DOG,S,N,SMALL,WHITE / CREAM,SHIH TZU,40218,199
N29,A688673,40203,STRAY,FIELD,2021-01-27 00:00:00,STRAY,ADOPTION,WALK IN,2021-02-03 00:00:00,DOG,S,N,SMALL,BLACK / WHITE,CHIHUAHUA SH / MIX,40203,200
TNR/SNR,A690719,40243,STRAY,OTC,2021-03-30 00:00:00,STRAY,SNR,,2021-04-01 00:00:00,CAT,S,N,SMALL,BRN TABBY,DOMESTIC SH,40243,201
INTAKE,A688519,40216,STRAY,OTC,2021-02-23 00:00:00,STRAY,TNR,CARETAKER,2021-02-24 00:00:00,CAT,N,N,MED,BLACK,DOMESTIC SH,40216,202
K104B,A580720,40205,STRAY,OTC,2022-05-23 00:00:00,STRAY,RTO,IN KENNEL,2022-05-23 00:00:00,DOG,N,N,SMALL,BLACK / WHITE,BORDER COLLIE / MIX,40205,203
ACO UNIT,A441078,40214,OWNER SUR,FIELD,2021-06-09 00:00:00,EUTH OLD,EUTH,REQUESTED,2021-06-09 00:00:00,DOG,S,N,PUPPY,FAWN,BLOODHOUND,40214,204
FOSTER,A688825,40291,STRAY,OTC,2021-02-02 00:00:00,STRAY,FOSTER,STRAY,2021-02-07 00:00:00,DOG,N,N,LARGE,FAWN,BOXER,40291,205
LOST,A690931,,LOST,WEB,2021-04-04 00:00:00,,,,,DOG,F,,SMALL,UNKNOWN,CHIHUAHUA SH,40219,206
802,A688790,40118,STRAY,OTC,2021-02-01 00:00:00,STRAY,RTO,IN KENNEL,2021-02-02 00:00:00,DOG,M,N,MED,WHITE,PIT BULL,40118,207
ID08,A564782,40229,STRAY,OTC,2021-05-08 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-05-28 00:00:00,DOG,S,N,LARGE,TAN / WHITE,LABRADOR RETR / BORDER COLLIE,40229,208
N05,A688728,40210,STRAY,FIELD,2021-01-30 00:00:00,STRAY,ADOPTION,WALK IN,2021-02-26 00:00:00,DOG,S,N,MED,BLACK,LABRADOR RETR / MIX,40210,209
C127,A688849,40215,STRAY,OTC,2021-02-03 00:00:00,STRAY,TNR,,2021-03-12 00:00:00,CAT,S,N,MED,BLACK / WHITE,DOMESTIC SH,40215,210
TNR/SNR,A688826,40218,STRAY,OTC,2021-02-02 00:00:00,STRAY,SNR,,2021-02-04 00:00:00,CAT,S,N,MED,TORTIE,DOMESTIC SH,40218,211
NP,A582556,40211,STRAY,FIELD,2024-08-23 00:00:00,STRAY,ADOPTION,WALK IN,2024-10-12 00:00:00,DOG,N,N,MED,BR BRINDLE,LABRADOR RETR,40211,212
LOST,A691231,,LOST,WEB,2021-04-04 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,40217,213
FOLLOWUP,A495208,40203,STRAY,FIELD,2023-05-26 00:00:00,STRAY,RTO,IN KENNEL,2023-05-27 00:00:00,DOG,N,N,SMALL,WHITE / BLACK,FEIST / PARSON RUSS TER,40202,214
TNR/SNR,A689403,40216,STRAY,OTC,2021-02-23 00:00:00,STRAY,SNR,,2021-02-25 00:00:00,CAT,N,N,MED,BRN TABBY,DOMESTIC SH,40216,215
904,A688938,40245,STRAY,OTC,2021-02-05 00:00:00,STRAY,RTO,IN KENNEL,2021-02-11 00:00:00,DOG,S,N,MED,BROWN / BLACK,KEESHOND / MIX,40245,216
C406,A688861,40214,OWNER SUR,FIELD,2021-02-03 00:00:00,NOFRIENDLY,ADOPTION,WALK IN,2021-03-02 00:00:00,CAT,N,Y,MED,GRAY,DOMESTIC SH,40214,217
NECROPSY,A609424,40216,DISPOSAL,FIELD,2021-08-08 00:00:00,DOA,DISPOSAL,NECROPSY,2021-08-10 00:00:00,DOG,N,N,LARGE,GRAY / WHITE,PIT BULL,40216,218
ACO UNIT,A579163,40215,STRAY,FIELD,2023-05-04 00:00:00,STRAY,RTO,IN FIELD,2023-05-04 00:00:00,DOG,N,N,LARGE,BROWN / WHITE,PIT BULL / MIX,40218,219
ID09,A603120,40219,CONFISCATE,ABANDONED,2022-05-09 00:00:00,ABANDON,RTO,IN KENNEL,2022-05-14 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR / AUST SHEPHERD,40218,220
FOSTER,A689511,40219,STRAY,OTC,2021-02-26 00:00:00,STRAY,FOSTER,STRAY,2021-02-26 00:00:00,RABBIT,M,N,SMALL,TAN,LOP-ENGLISH,40219,221
C218,A688969,40218,DISPOSAL,STRAY,2021-02-07 00:00:00,STRAY,DISPOSAL,STRAY,2021-02-07 00:00:00,CAT,U,N,KITTN,WHITE,DOMESTIC SH,40218,222
FOLLOWUP,A688899,40272,OWNER SUR,FIELD,2021-11-04 00:00:00,AGG ANIMAL,RTO,IN KENNEL,2021-11-05 00:00:00,DOG,N,N,LARGE,BROWN / WHITE,PIT BULL,40272,223
ACO UNIT,A611549,40208,STRAY,FIELD,2024-08-14 00:00:00,STRAY,RTO,,2024-08-14 00:00:00,DOG,N,Y,MED,GRAY / WHITE,AM PIT BULL TER,40208,224
201,A376786,40205,STRAY,OTC,2022-10-20 00:00:00,STRAY,FOSTER,HOSPICE,2022-10-27 00:00:00,DOG,N,N,MED,TRICOLOR / TRICOLOR,BEAGLE / BEAGLE,40220,225
ID09,A603120,40219,STRAY,OTC,2022-05-23 00:00:00,STRAY,RTO,IN KENNEL,2022-05-24 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR / AUST SHEPHERD,47122,226
LOST,A689661,,LOST,WEB,2021-03-01 00:00:00,,,,,DOG,F,,MED,UNKNOWN,BORDER COLLIE,40299,227
C218,A688972,40218,STRAY,OTC,2021-02-07 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-02-07 00:00:00,CAT,U,N,KITTN,WHITE,DOMESTIC SH,40218,228
ID01,A630124,40210,STRAY,OTC,2021-12-12 00:00:00,STRAY,RTO,IN KENNEL,2021-12-14 00:00:00,DOG,N,Y,LARGE,BLACK / WHITE,PIT BULL,40211,229
ACO UNIT,A451296,40219,STRAY,FIELD,2022-03-31 00:00:00,STRAY,RTO,IN FIELD,2022-03-31 00:00:00,DOG,N,N,LARGE,BLACK / WHITE,LABRADOR RETR / MIX,40218,230
LOST,A688933,,LOST,WEB,2021-02-04 00:00:00,,,,,CAT,F,,SMALL,UNKNOWN,DOMESTIC LH,40229,231
N09,A681411,40219,RETURN,ADOPTION,2021-03-21 00:00:00,HYPER,ADOPTION,WEB METRO,2021-03-26 00:00:00,DOG,N,N,LARGE,BLACK,PIT BULL,40219,232
FREEZER,A688972,40218,FOSTER,RETURN,2021-02-10 00:00:00,STRAY,DIED,IN FOSTER,2021-02-10 00:00:00,CAT,U,N,KITTN,WHITE,DOMESTIC SH,40218,233
N10,A689667,40213,STRAY,OTC,2021-03-03 00:00:00,STRAY,ADOPTION,WALK IN,2021-03-10 00:00:00,DOG,N,N,MED,WHITE / RED,AUST CATTLE DOG / MIX,40228,234
C412,A688934,40229,STRAY,OTC,2021-02-05 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-02-12 00:00:00,CAT,N,N,MED,ORG TABBY / WHITE,DOMESTIC SH,40229,235
C302,A689059,40214,STRAY,OTC,2021-02-24 00:00:00,STRAY,RTF,,2021-03-05 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC MH,40214,236
C105,A526703,40219,STRAY,FIELD,2023-04-25 00:00:00,STRAY,EUTH,INHUMANE,2023-04-26 00:00:00,CAT,N,N,LARGE,WHITE / BRN TABBY,DOMESTIC SH,40228,237
FREEZER,A547381,40205,DISPOSAL,OWNER,2021-12-17 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2021-12-17 00:00:00,CAT,S,N,MED,GRAY,HIMALAYAN,40205,238
LOST,A689688,,LOST,WEB,2021-03-02 00:00:00,,,,,DOG,M,,TOY,UNKNOWN,CHIHUAHUA LH,40212,239
103,A671879,40218,STRAY,OTC,2024-12-23 00:00:00,STRAY,RTO,IN KENNEL,2025-01-14 00:00:00,DOG,S,N,MED,GRAY,BULLDOG / STAFFORDSHIRE,40218,240
706,A640530,40219,STRAY,FIELD,2022-04-18 00:00:00,STRAY,RTO,IN KENNEL,2022-04-19 00:00:00,DOG,N,N,LARGE,BLACK,LABRADOR RETR,40218,241
TNR/SNR,A689059,40214,STRAY,OTC,2021-02-09 00:00:00,STRAY,SNR,,2021-02-11 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC MH,40214,242
ID10,A598403,40214,STRAY,OTC,2021-07-31 00:00:00,STRAY,RTO,IN KENNEL,2021-08-03 00:00:00,DOG,S,N,MED,TRICOLOR,BEAGLE,40214,243
NP,A621921,40299,FOSTER,RETURN,2023-04-20 00:00:00,FOSTER RET,ADOPTION,FRIEND,2023-04-20 00:00:00,DOG,N,N,MED,BLUE / WHITE,PIT BULL,40204,244
DW15,A689732,40241,STRAY,OTC,2021-03-04 00:00:00,STRAY,ADOPTION,INTERNET,2021-04-01 00:00:00,DOG,N,N,LARGE,GRAY,CANE CORSO / GERM SHEPHERD,40241,245
N08,A672077,40218,STRAY,OTC,2022-03-16 00:00:00,STRAY,ADOPTION,WALK IN,2022-04-05 00:00:00,DOG,N,N,PUPPY,BR BRINDLE / WHITE,PRESA CANARIO / MIX,40219,246
ACO UNIT,A656217,40214,STRAY,FIELD,2023-08-10 00:00:00,STRAY,RTO,IN FIELD,2023-08-10 00:00:00,DOG,N,N,MED,BLUE / WHITE,PIT BULL,40214,247
FOSTER,A689097,40215,STRAY,OTC,2021-02-11 00:00:00,STRAY,TRANSFER,RESCUE GRP,2021-02-16 00:00:00,DOG,F,N,LARGE,BR BRINDLE,PIT BULL / MIX,40215,248
ID02,A654675,40229,STRAY,OTC,2022-05-12 00:00:00,STRAY,RTO,IN KENNEL,2022-05-12 00:00:00,DOG,N,N,MED,BLACK,BOXER,40229,249
ID04,A504873,40272,OWNER SUR,OTC,2021-06-29 00:00:00,MOVE,TRANSFER,RESCUE GRP,2021-07-11 00:00:00,DOG,N,N,SMALL,TAN,PUG / BEAGLE,40272,250
C305,A658593,40207,STRAY,OTC,2022-10-18 00:00:00,STRAY,RTF,,2022-10-24 00:00:00,CAT,N,N,LARGE,GRAY,DOMESTIC SH,40207,251
N15,A688576,40229,STRAY,OTC,2021-01-23 00:00:00,STRAY,ADOPTION,EVENT,2021-07-10 00:00:00,DOG,S,N,MED,BR BRINDLE / WHITE,PIT BULL,40228,252
ACO UNIT,A656321,40214,STRAY,FIELD,2022-09-16 00:00:00,STRAY,RTO,IN FIELD,2022-09-16 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,40214,253
INTAKE,A364289,40228,DISPOSAL,OWNER,2021-03-15 00:00:00,DOA,DISPOSAL,BY OWNER,2021-03-15 00:00:00,DOG,F,Y,LARGE,BLACK / TRICOLOR,LABRADOR RETR / MIX,40228,254
ACO UNIT,A625769,40272,STRAY,FIELD,2021-05-08 00:00:00,STRAY,RTO,IN FIELD,2021-05-08 00:00:00,DOG,N,N,MED,BLACK / BROWN,BORDER COLLIE / MIX,40218,255
LOST,A690452,,LOST,WEB,2021-03-21 00:00:00,,,,,CAT,F,,MED,UNKNOWN,DOMESTIC SH,40229,256
ID03,A522021,40212,STRAY,FIELD,2023-05-27 00:00:00,STRAY,RTO,IN KENNEL,2023-06-05 00:00:00,DOG,F,Y,MED,BLACK / WHITE,PIT BULL / MIX,40218,257
FOLLOWUP,A688712,40205,FOSTER,RETURN,2021-03-09 00:00:00,FOSTER RET,FOSTER,MEDICAL,2021-03-11 00:00:00,CAT,N,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40205,258
K106B,A439859,40219,CONFISCATE,EVICTION,2024-12-13 00:00:00,STRAY,RTO,IN KENNEL,2024-12-17 00:00:00,DOG,N,N,SMALL,CREAM / CREAM,POMERANIAN / CHIHUAHUA SH,40219,259
FREEZER,A544936,40206,DISPOSAL,OWNER,2021-04-07 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2021-04-07 00:00:00,DOG,S,Y,SMALL,BROWN / BLACK,YORKSHIRE TERR,40206,260
905,A656321,40215,STRAY,FIELD,2023-07-29 00:00:00,STRAY,EUTH,BEHAV OBSV,2023-08-10 00:00:00,DOG,S,N,MED,BLACK / WHITE,PIT BULL,40215,261
ACO UNIT,A562865,40258,STRAY,FIELD,2021-12-24 00:00:00,STRAY,RTO,IN FIELD,2021-12-24 00:00:00,DOG,S,N,LARGE,BLACK,LABRADOR RETR,40258,262
N52,A688712,40205,FOSTER,RETURN,2021-03-26 00:00:00,FOSTER RET,ADOPTION,WALK IN,2021-03-26 00:00:00,CAT,N,N,MED,GRAY TABBY / WHITE,DOMESTIC SH,40205,263
ID02,A619301,40222,STRAY,OTC,2023-04-28 00:00:00,STRAY,RTO,IN KENNEL,2023-04-29 00:00:00,DOG,N,N,LARGE,TAN / WHITE,BLOODHOUND / MIX,40222,264
FOUND,A690473,,FOUND,WEB,2021-03-13 00:00:00,,,,,CAT,F,,MED,UNKNOWN,DOMESTIC SH,40245,265
N36,A631343,40202,CONFISCATE,OWNER DIED,2021-04-13 00:00:00,OWNER DIED,ADOPTION,FACEBOOK,2021-04-23 00:00:00,DOG,S,N,SMALL,WHITE,SHIH TZU,40202,266
203,A675226,40218,STRAY,OTC,2021-11-03 00:00:00,STRAY,RTO,IN KENNEL,2021-11-03 00:00:00,DOG,N,N,X-LRG,TAN,BULLMASTIFF,40218,267
N23,A685281,40291,CONFISCATE,ABANDONED,2024-11-01 00:00:00,ABANDON,ADOPTION,WALK IN,2024-11-09 00:00:00,DOG,N,N,SMALL,WHITE / TAN,CHIHUAHUA SH,40218,268
N06,A688846,40218,STRAY,FIELD,2021-02-03 00:00:00,STRAY,ADOPTION,WALK IN,2021-02-27 00:00:00,DOG,S,N,MED,BROWN / WHITE,BOXER / BEAGLE,40218,269
N10,A663333,40219,CONFISCATE,POLICE,2025-01-25 00:00:00,OWNER MED,ADOPTION,WALK IN,2025-03-15 00:00:00,DOG,S,N,MED,BROWN / WHITE,BOXER / MIX,40228,270
LOST,A690475,,LOST,WEB,2021-03-24 00:00:00,,,,,CAT,M,,,UNKNOWN,AMER SH,40229,271
C125,A484807,40215,STRAY,OTC,2021-08-24 00:00:00,STRAY,RTF,,2021-08-26 00:00:00,CAT,S,N,LARGE,BLACK,DOMESTIC SH,40215,272
LOST,A692232,,LOST,WEB,2021-05-08 00:00:00,,,,,DOG,M,,LARGE,UNKNOWN,CANE CORSO,40216,273
ID03,A692470,40220,STRAY,OTC,2021-05-14 00:00:00,STRAY,RTO,IN KENNEL,2021-05-15 00:00:00,DOG,S,N,LARGE,BLACK,PIT BULL / MIX,40217,274
FOSTER,A688971,40218,FOSTER,RETURN,2021-02-12 00:00:00,DOA,DIED,IN FOSTER,2021-02-12 00:00:00,CAT,M,N,KITTN,BLACK,DOMESTIC SH,40205,275
N18,A680798,40217,STRAY,OTC,2021-10-18 00:00:00,STRAY,ADOPTION,WALK IN,2021-11-27 00:00:00,DOG,N,N,LARGE,BLACK / BROWN,ROTTWEILER,40217,276
K106B,A690495,40219,STRAY,OTC,2021-03-25 00:00:00,STRAY,RTO,IN KENNEL,2021-03-26 00:00:00,DOG,M,N,TOY,WHITE / BLACK,RAT TERRIER / JACK RUSS TER,40219,277
K101B,A329026,40272,STRAY,FIELD,2021-02-21 00:00:00,OWNER DIED,TRANSFER,RESCUE GRP,2021-03-07 00:00:00,DOG,S,N,MED,RED,DACHSHUND,47126,278
LOST,A692329,,LOST,WEB,2021-04-29 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC LH,40204,279
FOSTER,A692481,40214,STRAY,FIELD,2021-05-15 00:00:00,STRAY,EUTH,MEDICAL,2021-05-17 00:00:00,CAT,M,N,KITTN,BLK TIGER,DOMESTIC SH,40214,280
C218,A688971,40218,STRAY,OTC,2021-02-07 00:00:00,STRAY,FOSTER,TOO YOUNG,2021-02-07 00:00:00,CAT,M,N,KITTN,BLACK,DOMESTIC SH,40218,281
612,A671879,40218,STRAY,OTC,2025-03-24 00:00:00,STRAY,RTO,IN KENNEL,2025-04-02 00:00:00,DOG,S,N,MED,GRAY,BULLDOG / STAFFORDSHIRE,40218,282
K106,A692502,40213,STRAY,FIELD,2021-05-16 00:00:00,STRAY,RTO,IN KENNEL,2021-05-18 00:00:00,DOG,N,N,SMALL,BLACK / TAN,MIN PINSCHER,40203,283
N45,A690751,40299,OWNER SUR,OTC,2021-07-11 00:00:00,ALLERGIC,ADOPTION,INTERNET,2021-07-11 00:00:00,CAT,S,N,MED,WHITE,DOMESTIC SH,40299,284
